,,,,,県学調　質問紙調査内容一覧,,,,,,,,,,,,,,,,,,,,,
,通番,"帳票１０
グラフ対象","11,分析支援
項目",非認知項目等,質問内容,小４,,小５,,小６,,中１,,中２,,中３,,,,入力,入力,入力,入力,入力,入力,入力
,,,,,,R2,設問番号,R2,設問番号,R2,設問番号,R2,設問番号,R2,設問番号,R2,設問番号,,,num_Q,小4,小5,小6,中1,中2,中3
22,21,〇,×,人的リソース方略,わからないときは、友達にやり方を聞く,1,(2)チ,1,(2)チ,1,(2)チ,1,(2)チ,1,(2)チ,1,(2)チ,,,q25,（２）チ,（２）チ,（２）チ,（２）チ,（２）チ,（２）チ
23,22,〇,×,作業方略,必要なものを用意してから勉強する,1,(2)ツ,1,(2)ツ,1,(2)ツ,1,(2)ツ,1,(2)ツ,1,(2)ツ,,,q19,（２）ツ,（２）ツ,（２）ツ,（２）ツ,（２）ツ,（２）ツ
24,23,〇,×,人的リソース方略,勉強のできる友達と同じやり方でやる,1,(2)テ,1,(2)テ,1,(2)テ,1,(2)テ,1,(2)テ,1,(2)テ,,,q26,（２）テ,（２）テ,（２）テ,（２）テ,（２）テ,（２）テ
25,24,〇,×,プランニング方略,正しいか確かめる,1,(2)ト,1,(2)ト,1,(2)ト,1,(2)ト,1,(2)ト,1,(2)ト,,,q13,（２）ト,（２）ト,（２）ト,（２）ト,（２）ト,（２）ト
26,25,〇,×,プランニング方略,計画に沿って行う,1,(2)ナ,1,(2)ナ,1,(2)ナ,1,(2)ナ,1,(2)ナ,1,(2)ナ,,,q14,（２）ナ,（２）ナ,（２）ナ,（２）ナ,（２）ナ,（２）ナ
27,26,〇,×,努力調整方略,嫌なところもよい成績をとるためにがんばる,1,(2)ニ,1,(2)ニ,1,(2)ニ,1,(2)ニ,1,(2)ニ,1,(2)ニ,,,q36,（２）ニ,（２）ニ,（２）ニ,（２）ニ,（２）ニ,（２）ニ
28,27,〇,×,認知的方略,知っている言葉で理解する,1,(2)ヌ,1,(2)ヌ,1,(2)ヌ,1,(2)ヌ,1,(2)ヌ,1,(2)ヌ,,,q29,（２）ヌ,（２）ヌ,（２）ヌ,（２）ヌ,（２）ヌ,（２）ヌ
29,28,〇,×,作業方略,繰り返し書いて覚える,1,(2)ネ,1,(2)ネ,1,(2)ネ,1,(2)ネ,1,(2)ネ,1,(2)ネ,,,q21,（２）ネ,（２）ネ,（２）ネ,（２）ネ,（２）ネ,（２）ネ
30,,,,,自分自身,,,,,,,,,,,,,,,,,,,,,
31,29,〇,×,やりぬく力,失敗を乗り越える,,,,,,,1,(3),,,,,,,q193,,,,（３）,,
32,30,〇,×,やりぬく力,前のことから気がそれる【逆転項目】,,,,,,,1,(4),,,,,,,q194,,,,（４）,,
33,31,〇,×,やりぬく力,興味関心が変わる【逆転項目】,,,,,,,1,(5),,,,,,,q195,,,,（５）,,
34,32,〇,×,やりぬく力,やる気がなくならない,,,,,,,1,(6),,,,,,,q196,,,,（６）,,
35,33,〇,×,やりぬく力,あきてしまう【逆転項目】,,,,,,,1,(7),,,,,,,q197,,,,（７）,,
36,34,〇,×,やりぬく力,よくがんばる,,,,,,,1,(8),,,,,,,q198,,,,（８）,,
37,35,〇,×,やりぬく力,目標を変える【逆転項目】,,,,,,,1,(9),,,,,,,q199,,,,（９）,,
38,36,〇,×,やりぬく力,集中し続けられない【逆転項目】,,,,,,,1,(10),,,,,,,q200,,,,（１０）,,
39,37,〇,×,やりぬく力,最後まで終わらせる,,,,,,,1,(11),,,,,,,q201,,,,（１１）,,
40,38,〇,×,やりぬく力,目標をやりとげる,,,,,,,1,(12),,,,,,,q202,,,,（１２）,,
41,39,〇,×,やりぬく力,新しいことに興味【逆転項目】,,,,,,,1,(13),,,,,,,q203,,,,（１３）,,
42,40,〇,×,やりぬく力,真面目にコツコツ,,,,,,,1,(14),,,,,,,q204,,,,（１４）,,
43,41,〇,〇,自分,よいところがある,1,(16),1,(29),1,(11),1,(15),1,(11),1,(11),,,q68,（１６）,（２９）,（１１）,（１５）,（１１）,（１１）
44,42,〇,〇,自分,難しいことにも挑戦する,1,(17),1,(30),1,(12),1,(16),1,(12),1,(12),,,q69,（１７）,（３０）,（１２）,（１６）,（１２）,（１２）
45,43,〇,〇,自分,地域の歴史や自然に関心がある,1,(18),1,(31),1,(13),1,(17),1,(13),1,(13),,,q70,（１８）,（３１）,（１３）,（１７）,（１３）,（１３）
46,44,〇,〇,自分,夢や目標を持っている,1,(19),1,(32),1,(14),1,(18),1,(14),1,(14),,,q71,（１９）,（３２）,（１４）,（１８）,（１４）,（１４）
47,45,〇,〇,自分,友達に認められることは大事である,1,(21),1,(34),1,(16),1,(20),1,(16),1,(16),,,q205,（２１）,（３４）,（１６）,（２０）,（１６）,（１６）
48,46,〇,〇,自分,幼稚園に通っていた,1,(22),1,(35),1,(17),1,(21),1,(17),1,(17),,,q207,（２２）,（３５）,（１７）,（２１）,（１７）,（１７）
49,47,〇,〇,自分,保育園に通っていた,1,(23),1,(36),1,(18),1,(22),1,(18),1,(18),,,q206,（２３）,（３６）,（１８）,（２２）,（１８）,（１８）
50,48,〇,〇,自分,将来どの学校まで進みたいか,1,(20),1,(33),1,(15),1,(19),1,(15),1,(15),,,q211,（２０）,（３３）,（１５）,（１９）,（１５）,（１５）
51,,,,,将来何かの職業について働きたい,,,,,,,,,,,,,,,,,,,,,
52,49,〇,×,自制心,必要なものを忘れた【回答が逆転しているためそのまま】,,,1,(21),,,,,1,(3),,,,,q39,,（２１）,,,（３）,
53,50,〇,×,自制心,じゃまをした【回答が逆転しているためそのまま】,,,1,(22),,,,,1,(4),,,,,q40,,（２２）,,,（４）,
54,51,〇,×,自制心,乱暴なことを言った【回答が逆転しているためそのまま】,,,1,(23),,,,,1,(5),,,,,q41,,（２３）,,,（５）,
55,52,〇,×,自制心,見つけられない【回答が逆転しているためそのまま】,,,1,(24),,,,,1,(6),,,,,q42,,（２４）,,,（６）,
56,53,〇,×,自制心,人やものにあたった【回答が逆転しているためそのまま】,,,1,(25),,,,,1,(7),,,,,q43,,（２５）,,,（７）,
57,54,〇,×,自制心,思い出せない【回答が逆転しているためそのまま】,,,1,(26),,,,,1,(8),,,,,q44,,（２６）,,,（８）,
58,55,〇,×,自制心,ぼんやり【回答が逆転しているためそのまま】,,,1,(27),,,,,1,(9),,,,,q45,,（２７）,,,（９）,
59,56,〇,×,自制心,口答えをした【回答が逆転しているためそのまま】,,,1,(28),,,,,1,(10),,,,,q46,,（２８）,,,（１０）,
60,57,〇,×,勤勉性,ミスをしないようにする【逆転項目】,1,(3),,,,,,,,,,,,,q55,（３）,,,,,
61,58,〇,×,勤勉性,楽しみながらがんばる【逆転項目】,1,(4),,,,,,,,,,,,,q56,（４）,,,,,
62,59,〇,×,勤勉性,やるべきことに関わる【逆転項目】,1,(5),,,,,,,,,,,,,q57,（５）,,,,,
63,60,〇,×,勤勉性,授業に集中する【逆転項目】,1,(6),,,,,,,,,,,,,q58,（６）,,,,,
64,61,〇,×,勤勉性,宿題ができたかを確認する【逆転項目】,1,(7),,,,,,,,,,,,,q59,（７）,,,,,
65,62,〇,×,勤勉性,ルールや順番を守る【逆転項目】,1,(8),,,,,,,,,,,,,q60,（８）,,,,,
66,63,〇,×,勤勉性,約束を守る【逆転項目】,1,(9),,,,,,,,,,,,,q61,（９）,,,,,
67,64,〇,×,勤勉性,周囲がちらかっている,1,(10),,,,,,,,,,,,,q62,（１０）,,,,,
68,65,〇,×,勤勉性,最後まで終わらせる【逆転項目】,1,(11),,,,,,,,,,,,,q63,（１１）,,,,,
69,66,〇,×,勤勉性,きちんと整理する【逆転項目】,1,(12),,,,,,,,,,,,,q64,（１２）,,,,,
70,67,〇,×,勤勉性,宿題を終わらせてから遊ぶ【逆転項目】,1,(13),,,,,,,,,,,,,q65,（１３）,,,,,
71,68,〇,×,勤勉性,気は散らない【逆転項目】,1,(14),,,,,,,,,,,,,q66,（１４）,,,,,
72,69,〇,×,勤勉性,やるべきことをやる【逆転項目】,1,(15),,,,,,,,,,,,,q67,（１５）,,,,,
73,,,,,進路で重視すること,,,,,,,,,,,,,,,,,,,,,
74,70,〇,〇,進路,就職に役立つことが学べる,,,,,,,,,1,(19)ア,1,(19)ア,,,q75,,,,,（１９）ア,（１９）ア
75,71,〇,〇,進路,やりたい勉強や部活動ができる,,,,,,,,,1,(19)イ,1,(19)イ,,,q76,,,,,（１９）イ,（１９）イ
76,72,〇,〇,進路,学力に合っている,,,,,,,,,1,(19)ウ,1,(19)ウ,,,q77,,,,,（１９）ウ,（１９）ウ
77,73,〇,〇,進路,個性や特技が生かせる,,,,,,,,,1,(19)エ,1,(19)エ,,,q78,,,,,（１９）エ,（１９）エ
78,,,,,進路選択の参考情報,,,,,,,,,,,,,,,,,,,,,
79,74,〇,〇,進路,先生の話,,,,,,,,,1,(20)ア,1,(20)ア,,,q79,,,,,（２０）ア,（２０）ア
80,75,〇,〇,進路,家の人の話,,,,,,,,,1,(20)イ,1,(20)イ,,,q80,,,,,（２０）イ,（２０）イ
81,76,〇,〇,進路,見学会,,,,,,,,,1,(20)ウ,1,(20)ウ,,,q81,,,,,（２０）ウ,（２０）ウ
82,77,〇,〇,進路,友達や先輩の話し,,,,,,,,,1,(20)エ,1,(20)エ,,,q82,,,,,（２０）エ,（２０）エ
83,,,,,昨年度のこと,,,,,,,,,,,,,,,,,,,,,
84,78,〇,〇,学級,学級は楽しかった,1,(36),1,(49),1,(31),1,(35),1,(33),1,(33),,,q83,（３６）,（４９）,（３１）,（３５）,（３３）,（３３）
85,79,〇,〇,学級,学級は落ち着いていた,1,(37),1,(50),1,(32),1,(36),1,(34),1,(34),,,q84,（３７）,（５０）,（３２）,（３６）,（３４）,（３４）
86,80,〇,〇,学級,学級はまとまっていた,1,(38),1,(51),1,(33),1,(37),1,(35),1,(35),,,q209,（３８）,（５１）,（３３）,（３７）,（３５）,（３５）
87,81,〇,〇,学級,先生がよさを認めてくれた,1,(39),1,(52),1,(34),1,(38),1,(36),1,(36),,,q208,（３９）,（５２）,（３４）,（３８）,（３６）,（３６）
88,82,〇,〇,学級,先生が相談にのってくれた,1,(40),1,(53),1,(35),1,(39),1,(37),1,(37),,,q87,（４０）,（５３）,（３５）,（３９）,（３７）,（３７）
89,83,〇,〇,学級,友達がよいところを認めてくれた,1,(41),1,(54),1,(36),1,(40),1,(38),1,(38),,,q86,（４１）,（５４）,（３６）,（４０）,（３８）,（３８）
90,84,〇,〇,学級,先生はわかるまで教えてくれた,1,(42),1,(55),1,(37),1,(41),1,(39),1,(39),,,q210,（４２）,（５５）,（３７）,（４１）,（３９）,（３９）
91,,,,,学校での生活に満足していた,,,,,,,,,,,,,,,,,,,,,
92,,,,,昨年度の授業,,,,,,,,,,,,,,,,,,,,,
94,86,〇,〇,国語ALの実施,理由をつけて発表したり書いたりできる,1,(44),,,1,(39),,,1,(41),,,,,q89,（４４）,,（３９）,,（４１）,
95,87,〇,〇,国語ALの実施,授業のまとめを先生が見る,1,(45),,,1,(40),,,1,(42),,,,,q90,（４５）,,（４０）,,（４２）,
