koumoku,4,5,6,1,2,3
q70,H28_4年_（１３）,H28_5年_（１３）,H28_6年_（１８）,H28_1年_（１３）,H28_2年_（１３）,H28_3年_（１８）
q71,H28_4年_（１４）,H28_5年_（１４）,H28_6年_（１９）,H28_1年_（１４）,H28_2年_（１４）,H28_3年_（１９）
q72,,H28_5年_（１５）,H28_6年_（２０）,,H28_2年_（１５）,H28_3年_（２０）
q73,H28_4年_（１５）,H28_5年_（１６）,H28_6年_（２１）,,,
q74,,,,H28_1年_（１５）,H28_2年_（１６）,H28_3年_（２１）
q75,,,,,H28_2年_（１７）ア,H28_3年_（２２）ア
q76,,,,,H28_2年_（１７）イ,H28_3年_（２２）イ
q77,,,,,H28_2年_（１７）ウ,H28_3年_（２２）ウ
q78,,,,,H28_2年_（１７）エ,H28_3年_（２２）エ
q79,,,,,H28_2年_（１８）ア,H28_3年_（２３）ア
q80,,,,,H28_2年_（１８）イ,H28_3年_（２３）イ
q81,,,,,H28_2年_（１８）ウ,H28_3年_（２３）ウ
q82,,,,,H28_2年_（１８）エ,H28_3年_（２３）エ
q83,H28_4年_（１６）,H28_5年_（２９）,H28_6年_（３４）,H28_1年_（１６）,H28_2年_（３１）,H28_3年_（３６）
q84,H28_4年_（１７）,H28_5年_（３０）,H28_6年_（３５）,H28_1年_（１７）,H28_2年_（３２）,H28_3年_（３７）
q85,H28_4年_（１８）,H28_5年_（３１）,H28_6年_（３６）,H28_1年_（１８）,H28_2年_（３３）,H28_3年_（３８）
q86,H28_4年_（１９）,H28_5年_（３２）,H28_6年_（３７）,H28_1年_（１９）,H28_2年_（３４）,H28_3年_（３９）
q87,H28_4年_（２０）,H28_5年_（３３）,H28_6年_（３８）,H28_1年_（２０）,H28_2年_（３５）,H28_3年_（４０）
q88,H28_4年_（２１）,,H28_6年_（３９）,,H28_2年_（３６）,
q89,H28_4年_（２２）,,H28_6年_（４０）,,H28_2年_（３７）,
q90,H28_4年_（２３）,,H28_6年_（４１）,,H28_2年_（３８）,
q91,H28_4年_（２４）,,H28_6年_（４２）,,H28_2年_（３９）,
q92,H28_4年_（２５）,,H28_6年_（４３）,,H28_2年_（４０）,
q93,H28_4年_（２６）,,H28_6年_（４４）,,H28_2年_（４１）,
q94,H28_4年_（２７）,,H28_6年_（４５）,,H28_2年_（４２）,
q95,H28_4年_（２８）,,H28_6年_（４６）,,H28_2年_（４３）,
q96,,H28_5年_（３４）,,H28_1年_（２１）,,H28_3年_（４１）
q97,,H28_5年_（３５）,,H28_1年_（２２）,,H28_3年_（４２）
q98,,H28_5年_（３６）,,H28_1年_（２３）,,H28_3年_（４３）
q99,,H28_5年_（３７）,,H28_1年_（２４）,,H28_3年_（４４）
q100,,H28_5年_（３８）,,H28_1年_（２５）,,H28_3年_（４５）
q101,,H28_5年_（３９）,,H28_1年_（２６）,,H28_3年_（４６）
q102,,H28_5年_（４０）,,H28_1年_（２７）,,H28_3年_（４７）
q103,,H28_5年_（４１）,,H28_1年_（２８）,,H28_3年_（４８）
q104,,,,,H28_2年_（４４）,H28_3年_（４９）
q105,,,,,H28_2年_（４５）,H28_3年_（５０）
q106,,,,,H28_2年_（４６）,H28_3年_（５１）
q107,H28_4年_（２９）,H28_5年_（４２）,H28_6年_（４７）,H28_1年_（２９）,H28_2年_（４７）,H28_3年_（５２）
q108,H28_4年_（３０）,H28_5年_（４３）,H28_6年_（４８）,H28_1年_（３０）,H28_2年_（４８）,H28_3年_（５３）
q109,H28_4年_（３１）,H28_5年_（４４）,H28_6年_（４９）,H28_1年_（３１）,H28_2年_（４９）,H28_3年_（５４）
q110,H28_4年_（３２）,H28_5年_（４５）,H28_6年_（５０）,H28_1年_（３２）,H28_2年_（５０）,H28_3年_（５５）
q111,H28_4年_（３３）,H28_5年_（４６）,H28_6年_（５１）,H28_1年_（３３）,H28_2年_（５１）,H28_3年_（５６）
q112,H28_4年_（３４）,H28_5年_（４７）,H28_6年_（５２）,H28_1年_（３４）,H28_2年_（５２）,H28_3年_（５７）
q113,H28_4年_（３５）,H28_5年_（４８）,H28_6年_（５３）,H28_1年_（３５）,H28_2年_（５３）,H28_3年_（５８）
q114,H28_4年_（３６）,H28_5年_（４９）,H28_6年_（５４）,H28_1年_（３６）,H28_2年_（５４）,H28_3年_（５９）
q115,H28_4年_（３７）,H28_5年_（５０）,H28_6年_（５５）,H28_1年_（３７）,H28_2年_（５５）,H28_3年_（６０）
q116,H28_4年_（３８）,H28_5年_（５１）,H28_6年_（５６）,H28_1年_（３８）,H28_2年_（５６）,H28_3年_（６１）
q117,H28_4年_（３９）,H28_5年_（５２）,H28_6年_（５７）,H28_1年_（３９）,H28_2年_（５７）,H28_3年_（６２）
q118,H28_4年_（４０）,H28_5年_（５３）,H28_6年_（５８）,H28_1年_（４０）,H28_2年_（５８）,H28_3年_（６３）
q119,H28_4年_（４１）,H28_5年_（５４）,H28_6年_（５９）,H28_1年_（４１）,H28_2年_（５９）,H28_3年_（６４）
q120,H28_4年_（４２）,H28_5年_（１７）,H28_6年_（２２）,H28_1年_（４２）,H28_2年_（１９）,H28_3年_（２４）
q121,H28_4年_（４３）,H28_5年_（１８）,H28_6年_（２３）,H28_1年_（４３）,H28_2年_（２０）,H28_3年_（２５）
q122,H28_4年_（４４）,H28_5年_（１９）,H28_6年_（２４）,H28_1年_（４４）,H28_2年_（２１）,H28_3年_（２６）
q123,H28_4年_（４５）,H28_5年_（２０）,H28_6年_（２５）,H28_1年_（４５）,H28_2年_（２２）,H28_3年_（２７）
q124,H28_4年_（４６）,H28_5年_（２１）,H28_6年_（２６）,H28_1年_（４６）,H28_2年_（２３）,H28_3年_（２８）
q125,H28_4年_（４７）,H28_5年_（２２）,H28_6年_（２７）,H28_1年_（４７）,H28_2年_（２４）,H28_3年_（２９）
q126,H28_4年_（４８）,H28_5年_（２３）,H28_6年_（２８）,H28_1年_（４８）,H28_2年_（２５）,H28_3年_（３０）
q127,H28_4年_（４９）,H28_5年_（２４）,H28_6年_（２９）,H28_1年_（４９）,H28_2年_（２６）,H28_3年_（３１）
